DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD,stationID
2024-02-01 00:00:00,51.0,,,,,,1,29,65,281,02t
2024-02-01 01:00:00,59.5,,,,,,0,29,68,299,02t
2024-02-01 02:00:00,42.9,,,,,,0,28,69,308,02t
2024-02-01 03:00:00,42.4,,,,,,0,28,70,317,02t
2024-02-01 04:00:00,40.6,,,,,,0,28,70,26,02t
2024-02-01 05:00:00,40.1,,,,,,0,28,71,10,02t
2024-02-01 06:00:00,39.4,,,,,,0,28,72,353,02t
2024-02-01 07:00:00,44.2,,,,,,0,28,73,44,02t
2024-02-01 08:00:00,43.4,,,,,,0,29,73,310,02t
2024-02-01 09:00:00,37.8,,,,,,0,30,72,286,02t
2024-02-01 10:00:00,37.5,,,,,,1,31,68,276,02t
2024-02-01 11:00:00,35.9,,,,,,1,32,60,280,02t
2024-02-01 12:00:00,35.3,,,,,,1,33,53,279,02t
2024-02-01 13:00:00,30.5,,,,,,1,34,48,280,02t
2024-02-01 14:00:00,27.8,,,,,,1,34,47,277,02t
2024-02-01 15:00:00,28.5,,,,,,1,34,48,281,02t
2024-02-01 16:00:00,31.5,,,,,,1,33,49,282,02t
2024-02-01 17:00:00,32.8,,,,,,0,33,52,294,02t
2024-02-01 18:00:00,30.2,,,,,,0,31,56,359,02t
2024-02-01 19:00:00,27.1,,,,,,0,30,61,38,02t
2024-02-01 20:00:00,24.8,,,,,,0,30,64,357,02t
2024-02-01 21:00:00,25.1,,,,,,0,30,67,313,02t
2024-02-01 22:00:00,27.8,,,,,,0,29,68,326,02t
2024-02-01 23:00:00,25.3,,,,,,0,29,69,330,02t
2024-02-02 00:00:00,22.9,,,,,,0,29,70,351,02t
2024-02-02 01:00:00,24.1,,,,,,0,29,71,324,02t
2024-02-02 02:00:00,19.3,,,,,,0,28,71,6,02t
2024-02-02 03:00:00,19.2,,,,,,0,28,72,1,02t
2024-02-02 04:00:00,20.7,,,,,,0,28,72,25,02t
2024-02-02 05:00:00,25.5,,,,,,0,28,72,356,02t
2024-02-02 06:00:00,27.3,,,,,,0,28,72,3,02t
2024-02-02 07:00:00,28.4,,,,,,0,28,73,350,02t
2024-02-02 08:00:00,28.5,,,,,,0,29,73,340,02t
2024-02-02 09:00:00,28.4,,,,,,0,30,72,296,02t
2024-02-02 10:00:00,29.8,,,,,,1,31,67,282,02t
2024-02-02 11:00:00,29.9,,,,,,0,32,60,348,02t
2024-02-02 12:00:00,36.7,,,,,,1,34,53,300,02t
2024-02-02 13:00:00,32.9,,,,,,1,35,48,283,02t
2024-02-02 14:00:00,32.8,,,,,,1,34,46,284,02t
2024-02-02 15:00:00,33.2,,,,,,1,34,46,282,02t
2024-02-02 16:00:00,27.0,,,,,,0,34,47,295,02t
2024-02-02 17:00:00,38.3,,,,,,0,33,49,28,02t
2024-02-02 18:00:00,35.7,,,,,,0,32,52,5,02t
2024-02-02 19:00:00,29.5,,,,,,0,31,57,11,02t
2024-02-02 20:00:00,27.7,,,,,,0,30,62,6,02t
2024-02-02 21:00:00,25.5,,,,,,0,30,65,32,02t
2024-02-02 22:00:00,23.6,,,,,,0,30,67,13,02t
2024-02-02 23:00:00,21.0,,,,,,0,29,68,21,02t
2024-02-03 00:00:00,21.0,,,,,,0,29,70,12,02t
2024-02-03 01:00:00,30.2,,,,,,0,29,71,347,02t
2024-02-03 02:00:00,24.4,,,,,,0,29,72,354,02t
2024-02-03 03:00:00,22.0,,,,,,0,29,72,33,02t
2024-02-03 04:00:00,24.9,,,,,,0,29,73,21,02t
2024-02-03 05:00:00,25.8,,,,,,0,29,73,16,02t
2024-02-03 06:00:00,28.7,,,,,,0,28,74,8,02t
2024-02-03 07:00:00,33.1,,,,,,0,28,74,353,02t
2024-02-03 08:00:00,33.3,,,,,,0,29,74,355,02t
2024-02-03 09:00:00,31.5,,,,,,0,30,73,314,02t
2024-02-03 10:00:00,30.6,,,,,,1,31,71,289,02t
2024-02-03 11:00:00,34.1,,,,,,1,32,66,286,02t
