DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
2023-12-01 00:00:00,32.6,1,30,53,49,02t
2023-12-01 01:00:00,40.5,1,30,55,51,02t
2023-12-01 02:00:00,33.8,0,29,57,5,02t
2023-12-01 03:00:00,33.7,0,29,60,30,02t
2023-12-01 04:00:00,36.0,1,28,62,19,02t
2023-12-01 05:00:00,37.1,1,28,63,45,02t
2023-12-01 06:00:00,36.7,1,28,64,55,02t
2023-12-01 07:00:00,38.7,1,28,64,46,02t
2023-12-01 08:00:00,35.9,1,29,63,69,02t
2023-12-01 09:00:00,29.1,1,30,59,76,02t
2023-12-01 10:00:00,23.0,2,32,54,45,02t
2023-12-01 11:00:00,17.1,2,33,48,50,02t
2023-12-01 12:00:00,17.3,2,34,46,36,02t
2023-12-01 13:00:00,18.9,1,34,47,28,02t
2023-12-01 14:00:00,21.1,1,34,46,35,02t
2023-12-01 15:00:00,19.7,1,33,46,80,02t
2023-12-01 16:00:00,20.6,1,33,47,97,02t
2023-12-01 17:00:00,18.5,1,32,49,76,02t
2023-12-01 18:00:00,14.4,0,32,51,91,02t
2023-12-01 19:00:00,21.4,0,31,53,100,02t
2023-12-01 20:00:00,26.7,0,31,55,150,02t
2023-12-01 21:00:00,29.3,0,30,56,278,02t
2023-12-01 22:00:00,34.1,0,30,58,274,02t
2023-12-01 23:00:00,34.2,0,30,60,295,02t
2023-12-02 00:00:00,37.2,0,30,62,78,02t
2023-12-02 01:00:00,37.6,1,27,72,93,02t
2023-12-02 02:00:00,17.6,0,26,75,83,02t
2023-12-02 03:00:00,16.6,0,26,76,285,02t
2023-12-02 04:00:00,18.4,0,26,76,330,02t
2023-12-02 05:00:00,17.4,0,26,77,8,02t
2023-12-02 06:00:00,19.9,0,26,77,24,02t
2023-12-02 07:00:00,24.1,0,27,78,51,02t
2023-12-02 08:00:00,25.0,1,27,78,79,02t
2023-12-02 09:00:00,22.1,1,28,77,73,02t
2023-12-02 10:00:00,21.9,1,29,71,72,02t
2023-12-02 11:00:00,20.8,1,30,65,81,02t
2023-12-02 12:00:00,21.0,1,32,59,57,02t
2023-12-02 13:00:00,16.9,1,33,55,85,02t
2023-12-02 14:00:00,15.4,1,33,52,86,02t
2023-12-02 15:00:00,13.0,1,33,51,87,02t
2023-12-02 16:00:00,17.3,1,32,52,86,02t
2023-12-02 17:00:00,18.2,1,32,54,92,02t
2023-12-02 18:00:00,23.1,0,31,56,95,02t
2023-12-02 19:00:00,22.2,0,31,57,97,02t
2023-12-02 20:00:00,18.5,0,30,59,81,02t
2023-12-02 21:00:00,22.4,0,30,60,71,02t
2023-12-02 22:00:00,27.3,0,30,61,21,02t
2023-12-02 23:00:00,27.2,0,29,62,335,02t
2023-12-03 00:00:00,32.2,0,29,63,46,02t
2023-12-03 01:00:00,30.4,1,29,65,44,02t
2023-12-03 02:00:00,27.0,1,29,65,55,02t
2023-12-03 03:00:00,32.3,1,29,64,71,02t
2023-12-03 04:00:00,24.6,1,29,64,67,02t
2023-12-03 05:00:00,19.1,0,28,64,90,02t
2023-12-03 06:00:00,22.0,1,28,64,78,02t
2023-12-03 07:00:00,23.6,1,28,64,67,02t
2023-12-03 08:00:00,24.5,1,29,65,64,02t
2023-12-03 09:00:00,22.9,1,29,63,58,02t
2023-12-03 10:00:00,22.0,1,31,60,58,02t
2023-12-03 11:00:00,17.1,1,32,53,55,02t
2023-12-03 12:00:00,14.2,1,34,47,59,02t
2023-12-03 13:00:00,12.8,1,34,46,58,02t
2023-12-03 14:00:00,10.9,1,34,46,64,02t
2023-12-03 15:00:00,15.8,1,34,47,81,02t
2023-12-03 16:00:00,16.4,1,33,48,85,02t
2023-12-03 17:00:00,,0,0,0,0,02t
2023-12-03 18:00:00,,0,0,0,0,02t
2023-12-03 19:00:00,,0,0,0,0,02t
2023-12-03 20:00:00,,0,0,0,0,02t
2023-12-03 21:00:00,,0,0,0,0,02t
2023-12-03 22:00:00,,0,0,0,0,02t
2023-12-03 23:00:00,,0,0,0,0,02t
2023-12-04 00:00:00,,0,0,0,0,02t
2023-12-04 01:00:00,,0,0,0,0,02t
2023-12-04 02:00:00,,0,0,0,0,02t
2023-12-04 03:00:00,,0,0,0,0,02t
2023-12-04 04:00:00,,0,0,0,0,02t
2023-12-04 05:00:00,,0,0,0,0,02t
2023-12-04 06:00:00,,0,0,0,0,02t
2023-12-04 07:00:00,,0,0,0,0,02t
2023-12-04 08:00:00,37.4,1,27,80,73,02t
2023-12-04 09:00:00,31.4,1,28,77,84,02t
2023-12-04 10:00:00,22.0,1,29,70,80,02t
2023-12-04 11:00:00,23.5,1,31,63,75,02t
2023-12-04 12:00:00,22.4,1,32,58,70,02t
