DATETIMEDATA,hour,day_of_week,day,month,prediction_label
2024-03-04 00:00:00,0,0,4,3,22.427000703811647
2024-03-04 01:00:00,1,0,4,3,28.523999633789064
2024-03-04 02:00:00,2,0,4,3,35.22499998092651
2024-03-04 03:00:00,3,0,4,3,29.927999963760374
2024-03-04 04:00:00,4,0,4,3,27.22799966812134
2024-03-04 05:00:00,5,0,4,3,30.284000663757325
2024-03-04 06:00:00,6,0,4,3,29.38000068664551
2024-03-04 07:00:00,7,0,4,3,32.7429993057251
2024-03-04 08:00:00,8,0,4,3,38.190999355316166
2024-03-04 09:00:00,9,0,4,3,41.001001300811765
2024-03-04 10:00:00,10,0,4,3,25.80599962234497
2024-03-04 11:00:00,11,0,4,3,24.271999311447143
2024-03-04 12:00:00,12,0,4,3,25.8659992980957
2024-03-04 13:00:00,13,0,4,3,21.229999990463256
2024-03-04 14:00:00,14,0,4,3,20.740999660491944
2024-03-04 15:00:00,15,0,4,3,23.595000381469728
2024-03-04 16:00:00,16,0,4,3,21.75900001525879
2024-03-04 17:00:00,17,0,4,3,24.356999311447144
2024-03-04 18:00:00,18,0,4,3,14.966000003814697
2024-03-04 19:00:00,19,0,4,3,19.57400005340576
2024-03-04 20:00:00,20,0,4,3,17.753999691009522
2024-03-04 21:00:00,21,0,4,3,17.02299928665161
2024-03-04 22:00:00,22,0,4,3,16.44700002670288
2024-03-04 23:00:00,23,0,4,3,17.818999652862548
2024-03-05 00:00:00,0,1,5,3,19.406143760681154
2024-03-05 01:00:00,1,1,5,3,21.515335426330566
2024-03-05 02:00:00,2,1,5,3,25.24499954223633
2024-03-05 03:00:00,3,1,5,3,25.189000148773193
2024-03-05 04:00:00,4,1,5,3,22.572000331878662
2024-03-05 05:00:00,5,1,5,3,26.264000301361083
2024-03-05 06:00:00,6,1,5,3,25.530000038146973
2024-03-05 07:00:00,7,1,5,3,28.594999256134034
2024-03-05 08:00:00,8,1,5,3,34.18299968719482
2024-03-05 09:00:00,9,1,5,3,36.33800148010254
2024-03-05 10:00:00,10,1,5,3,26.112000312805176
2024-03-05 11:00:00,11,1,5,3,21.754999237060545
2024-03-05 12:00:00,12,1,5,3,21.3819997882843
2024-03-05 13:00:00,13,1,5,3,15.515
2024-03-05 14:00:00,14,1,5,3,14.968999633789062
2024-03-05 15:00:00,15,1,5,3,14.558000392913819
2024-03-05 16:00:00,16,1,5,3,18.65118341445923
2024-03-05 17:00:00,17,1,5,3,19.573471202850342
2024-03-05 18:00:00,18,1,5,3,13.197000007629395
2024-03-05 19:00:00,19,1,5,3,15.849999752044678
2024-03-05 20:00:00,20,1,5,3,19.316999912261963
2024-03-05 21:00:00,21,1,5,3,18.67099925994873
2024-03-05 22:00:00,22,1,5,3,17.31800052642822
2024-03-05 23:00:00,23,1,5,3,18.553999404907227
2024-03-06 00:00:00,0,2,6,3,17.58825589179993
2024-03-06 01:00:00,1,2,6,3,15.285447807312012
2024-03-06 02:00:00,2,2,6,3,19.23499925613403
2024-03-06 03:00:00,3,2,6,3,22.59300012588501
2024-03-06 04:00:00,4,2,6,3,19.256000747680662
2024-03-06 05:00:00,5,2,6,3,25.29699999809265
2024-03-06 06:00:00,6,2,6,3,27.08299982070923
2024-03-06 07:00:00,7,2,6,3,25.50299928665161
2024-03-06 08:00:00,8,2,6,3,29.64299982070923
2024-03-06 09:00:00,9,2,6,3,26.666000175476075
2024-03-06 10:00:00,10,2,6,3,23.555000247955324
2024-03-06 11:00:00,11,2,6,3,20.15099925041199
2024-03-06 12:00:00,12,2,6,3,18.112999782562255
2024-03-06 13:00:00,13,2,6,3,15.199000387191772
2024-03-06 14:00:00,14,2,6,3,14.02099962234497
2024-03-06 15:00:00,15,2,6,3,15.875000190734863
2024-03-06 16:00:00,16,2,6,3,16.555391788482666
2024-03-06 17:00:00,17,2,6,3,18.08219958305359
2024-03-06 18:00:00,18,2,6,3,15.821000003814698
2024-03-06 19:00:00,19,2,6,3,18.568000030517577
2024-03-06 20:00:00,20,2,6,3,20.178999614715575
2024-03-06 21:00:00,21,2,6,3,20.413999824523927
2024-03-06 22:00:00,22,2,6,3,19.396000175476075
2024-03-06 23:00:00,23,2,6,3,19.913999481201174
2024-03-07 00:00:00,0,3,7,3,19.682999668121337
2024-03-07 01:00:00,1,3,7,3,16.000000104904174
2024-03-07 02:00:00,2,3,7,3,17.342000217437743
2024-03-07 03:00:00,3,3,7,3,24.25499942779541
2024-03-07 04:00:00,4,3,7,3,23.001000719070433
