DATETIMEDATA,hour,day_of_week,day,month,prediction_label
2024-03-10 00:00:00,0,6,10,3,19.745000648498536
2024-03-10 01:00:00,1,6,10,3,20.735999984741213
2024-03-10 02:00:00,2,6,10,3,18.79000005722046
2024-03-10 03:00:00,3,6,10,3,19.336000175476073
2024-03-10 04:00:00,4,6,10,3,18.262999753952027
2024-03-10 05:00:00,5,6,10,3,17.670000276565553
2024-03-10 06:00:00,6,6,10,3,17.888999576568605
2024-03-10 07:00:00,7,6,10,3,20.60600025177002
2024-03-10 08:00:00,8,6,10,3,24.050000495910645
2024-03-10 09:00:00,9,6,10,3,21.966000213623047
2024-03-10 10:00:00,10,6,10,3,23.881999950408936
2024-03-10 11:00:00,11,6,10,3,17.97100061416626
2024-03-10 12:00:00,12,6,10,3,17.442000675201417
2024-03-10 13:00:00,13,6,10,3,16.776999282836915
2024-03-10 14:00:00,14,6,10,3,16.933000411987305
2024-03-10 15:00:00,15,6,10,3,18.70399990081787
2024-03-10 16:00:00,16,6,10,3,20.452000198364257
2024-03-10 17:00:00,17,6,10,3,20.499999523162842
2024-03-10 18:00:00,18,6,10,3,17.696000595092773
2024-03-10 19:00:00,19,6,10,3,19.304999675750732
2024-03-10 20:00:00,20,6,10,3,20.892951622009278
2024-03-10 21:00:00,21,6,10,3,19.835663452148438
2024-03-10 22:00:00,22,6,10,3,22.46000062942505
2024-03-10 23:00:00,23,6,10,3,24.753999938964842
2024-03-11 00:00:00,0,0,11,3,20.678712673187256
2024-03-11 01:00:00,1,0,11,3,22.40461651802063
2024-03-11 02:00:00,2,0,11,3,23.722000255584717
2024-03-11 03:00:00,3,0,11,3,22.65700002670288
2024-03-11 04:00:00,4,0,11,3,19.818000583648683
2024-03-11 05:00:00,5,0,11,3,22.103000392913817
2024-03-11 06:00:00,6,0,11,3,22.443999729156495
2024-03-11 07:00:00,7,0,11,3,26.514999599456786
2024-03-11 08:00:00,8,0,11,3,29.566999378204347
2024-03-11 09:00:00,9,0,11,3,26.74600019454956
2024-03-11 10:00:00,10,0,11,3,20.951999435424806
2024-03-11 11:00:00,11,0,11,3,22.311999588012696
2024-03-11 12:00:00,12,0,11,3,23.089999294281007
2024-03-11 13:00:00,13,0,11,3,20.57499937057495
2024-03-11 14:00:00,14,0,11,3,19.10699932098389
2024-03-11 15:00:00,15,0,11,3,19.783000679016112
2024-03-11 16:00:00,16,0,11,3,17.492616291046144
2024-03-11 17:00:00,17,0,11,3,22.168712539672853
2024-03-11 18:00:00,18,0,11,3,19.799000644683836
2024-03-11 19:00:00,19,0,11,3,21.522000617980957
2024-03-11 20:00:00,20,0,11,3,20.282999954223634
2024-03-11 21:00:00,21,0,11,3,19.964000587463378
2024-03-11 22:00:00,22,0,11,3,20.654000339508055
2024-03-11 23:00:00,23,0,11,3,22.04599994659424
2024-03-12 00:00:00,0,1,12,3,22.257136402130126
2024-03-12 01:00:00,1,1,12,3,21.195135831832886
2024-03-12 02:00:00,2,1,12,3,19.07300039291382
2024-03-12 03:00:00,3,1,12,3,20.64700038909912
2024-03-12 04:00:00,4,1,12,3,18.159000396728516
2024-03-12 05:00:00,5,1,12,3,19.965999813079833
2024-03-12 06:00:00,6,1,12,3,21.55099983215332
2024-03-12 07:00:00,7,1,12,3,25.662999420166017
2024-03-12 08:00:00,8,1,12,3,25.021000099182128
2024-03-12 09:00:00,9,1,12,3,23.700999660491945
2024-03-12 10:00:00,10,1,12,3,19.552999725341795
2024-03-12 11:00:00,11,1,12,3,21.27799995422363
2024-03-12 12:00:00,12,1,12,3,21.10900013923645
2024-03-12 13:00:00,13,1,12,3,19.701000118255614
2024-03-12 14:00:00,14,1,12,3,18.43599967956543
2024-03-12 15:00:00,15,1,12,3,17.12400037765503
2024-03-12 16:00:00,16,1,12,3,17.507328100204468
2024-03-12 17:00:00,17,1,12,3,20.36180826187134
2024-03-12 18:00:00,18,1,12,3,20.23600051879883
2024-03-12 19:00:00,19,1,12,3,23.25900046348572
2024-03-12 20:00:00,20,1,12,3,19.860000324249267
2024-03-12 21:00:00,21,1,12,3,19.29199993133545
2024-03-12 22:00:00,22,1,12,3,18.91300054550171
2024-03-12 23:00:00,23,1,12,3,18.96900004386902
2024-03-13 00:00:00,0,2,13,3,21.509000492095947
2024-03-13 01:00:00,1,2,13,3,20.962999677658082
2024-03-13 02:00:00,2,2,13,3,15.999000215530396
2024-03-13 03:00:00,3,2,13,3,17.330000410079958
2024-03-13 04:00:00,4,2,13,3,15.64800015449524
2024-03-13 05:00:00,5,2,13,3,15.913999691009522
2024-03-13 06:00:00,6,2,13,3,18.77699994087219
2024-03-13 07:00:00,7,2,13,3,23.843999252319335
2024-03-13 08:00:00,8,2,13,3,20.336000061035158
2024-03-13 09:00:00,9,2,13,3,21.342999858856203
2024-03-13 10:00:00,10,2,13,3,18.305999698638917
2024-03-13 11:00:00,11,2,13,3,20.184000358581542
2024-03-13 12:00:00,12,2,13,3,19.633000078201295
2024-03-13 13:00:00,13,2,13,3,19.239000720977785
2024-03-13 14:00:00,14,2,13,3,18.36699966430664
2024-03-13 15:00:00,15,2,13,3,19.475999927520753
2024-03-13 16:00:00,16,2,13,3,16.973000173568725
2024-03-13 17:00:00,17,2,13,3,18.721000118255617
2024-03-13 18:00:00,18,2,13,3,20.046000385284422
2024-03-13 19:00:00,19,2,13,3,25.74199980735779
2024-03-13 20:00:00,20,2,13,3,20.980808486938475
2024-03-13 21:00:00,21,2,13,3,19.88680727005005
2024-03-13 22:00:00,22,2,13,3,19.243000164031983
2024-03-13 23:00:00,23,2,13,3,15.944999885559081
2024-03-14 00:00:00,0,3,14,3,17.46500015258789
2024-03-14 01:00:00,1,3,14,3,20.582999839782715
2024-03-14 02:00:00,2,3,14,3,16.547999629974367
2024-03-14 03:00:00,3,3,14,3,13.077000246047973
2024-03-14 04:00:00,4,3,14,3,13.868000202178955
2024-03-14 05:00:00,5,3,14,3,12.607000255584717
2024-03-14 06:00:00,6,3,14,3,16.815999727249146
2024-03-14 07:00:00,7,3,14,3,22.081999244689943
2024-03-14 08:00:00,8,3,14,3,20.25599925994873
2024-03-14 09:00:00,9,3,14,3,16.829000272750854
2024-03-14 10:00:00,10,3,14,3,20.093999423980712
2024-03-14 11:00:00,11,3,14,3,18.985999794006347
2024-03-14 12:00:00,12,3,14,3,17.946000032424926
2024-03-14 13:00:00,13,3,14,3,17.940999927520753
2024-03-14 14:00:00,14,3,14,3,18.157999897003172
2024-03-14 15:00:00,15,3,14,3,18.040903644561766
2024-03-14 16:00:00,16,3,14,3,15.868712215423583
2024-03-14 17:00:00,17,3,14,3,17.81900032043457
2024-03-14 18:00:00,18,3,14,3,17.630000400543214
2024-03-14 19:00:00,19,3,14,3,20.62799948692322
2024-03-14 20:00:00,20,3,14,3,20.889807758331298
2024-03-14 21:00:00,21,3,14,3,17.212903575897215
2024-03-14 22:00:00,22,3,14,3,21.823999462127684
2024-03-14 23:00:00,23,3,14,3,17.246999626159667
2024-03-15 00:00:00,0,4,15,3,19.724000244140626
2024-03-15 01:00:00,1,4,15,3,17.925999670028688
2024-03-15 02:00:00,2,4,15,3,17.92400007247925
2024-03-15 03:00:00,3,4,15,3,11.740000085830689
2024-03-15 04:00:00,4,4,15,3,14.023999919891358
2024-03-15 05:00:00,5,4,15,3,13.140000286102294
2024-03-15 06:00:00,6,4,15,3,19.975999603271486
2024-03-15 07:00:00,7,4,15,3,21.66099946975708
2024-03-15 08:00:00,8,4,15,3,22.119999485015867
2024-03-15 09:00:00,9,4,15,3,15.032999944686889
2024-03-15 10:00:00,10,4,15,3,20.98000020980835
2024-03-15 11:00:00,11,4,15,3,17.668999767303468
2024-03-15 12:00:00,12,4,15,3,17.603000679016112
2024-03-15 13:00:00,13,4,15,3,16.683999528884886
2024-03-15 14:00:00,14,4,15,3,18.865000534057618
2024-03-15 15:00:00,15,4,15,3,12.090999727249146
2024-03-15 16:00:00,16,4,15,3,16.68652024269104
2024-03-15 17:00:00,17,4,15,3,16.958999967575075
2024-03-15 18:00:00,18,4,15,3,18.481999778747557
2024-03-15 19:00:00,19,4,15,3,17.97900001525879
2024-03-15 20:00:00,20,4,15,3,19.58599998474121
2024-03-15 21:00:00,21,4,15,3,14.427903699874879
2024-03-15 22:00:00,22,4,15,3,19.023999462127687
2024-03-15 23:00:00,23,4,15,3,17.485000171661376
2024-03-16 00:00:00,0,5,16,3,19.71099987030029
2024-03-16 01:00:00,1,5,16,3,15.677999877929688
2024-03-16 02:00:00,2,5,16,3,15.99600016593933
2024-03-16 03:00:00,3,5,16,3,14.864000387191773
2024-03-16 04:00:00,4,5,16,3,15.980000095367432
2024-03-16 05:00:00,5,5,16,3,15.098000526428223
2024-03-16 06:00:00,6,5,16,3,20.593999843597413
2024-03-16 07:00:00,7,5,16,3,23.32400005340576
2024-03-16 08:00:00,8,5,16,3,19.852000274658202
2024-03-16 09:00:00,9,5,16,3,16.716000213623047
2024-03-16 10:00:00,10,5,16,3,21.227000064849854
2024-03-16 11:00:00,11,5,16,3,19.173999614715576
2024-03-16 12:00:00,12,5,16,3,20.630000762939453
2024-03-16 13:00:00,13,5,16,3,18.572999362945556
2024-03-16 14:00:00,14,5,16,3,16.41300048828125
2024-03-16 15:00:00,15,5,16,3,15.64199993133545
2024-03-16 16:00:00,16,5,16,3,19.655000133514406
2024-03-16 17:00:00,17,5,16,3,16.672000398635863
2024-03-16 18:00:00,18,5,16,3,17.03799987792969
2024-03-16 19:00:00,19,5,16,3,18.708000144958497
2024-03-16 20:00:00,20,5,16,3,19.78290464401245
2024-03-16 21:00:00,21,5,16,3,16.09190378189087
2024-03-16 22:00:00,22,5,16,3,20.73600015640259
2024-03-16 23:00:00,23,5,16,3,17.387000465393065
